"","nome_jogo","nota_jogo","link_jogo","ano_jogo","genero_jogo","link_avaliacao","avaliacao_jogo","diretor_jogo"
"1","Death Stranding","8.8","https://www.imdb.com/title/tt5807606/?ref_=adv_li_tt",2019,"
Action, Adventure, Drama","https://www.imdb.com/title/tt5807606/ratings/?ref_=tt_ov_rt","4,175|2,188|1,083|491|246|152|102|76|56|245","Hideo Kojima
"
"2","The Last of Us","9.7","https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt",2013,"
Action, Adventure, Drama","https://www.imdb.com/title/tt2140553/ratings/?ref_=tt_ov_rt","49,899|8,073|2,709|893|561|199|98|111|103|763","Neil Druckmann
| Bruce Straley
"
"3","The Last of Us: Part II","8.6","https://www.imdb.com/title/tt6298000/?ref_=adv_li_tt",2020,"
Action, Adventure, Drama","https://www.imdb.com/title/tt6298000/ratings/?ref_=tt_ov_rt","15,628|5,615|2,912|1,379|931|679|516|454|503|3,765","Neil Druckmann
| Kurt Margenau
| Anthony Newman
"
"4","Batman: Arkham Knight","9","https://www.imdb.com/title/tt3554580/?ref_=adv_li_tt",2015,"
Action, Adventure, Crime","https://www.imdb.com/title/tt3554580/ratings/?ref_=tt_ov_rt","8,885|5,674|3,207|1,262|450|203|82|53|29|209","Sefton Hill
"
"5","The Last of Us: Part I","9.8","https://www.imdb.com/title/tt20918700/?ref_=adv_li_tt",2022,"
Action, Adventure, Drama","https://www.imdb.com/title/tt20918700/ratings/?ref_=tt_ov_rt","1,259|137|55|22|11|8|3|3|7|107","Matthew Gallant
| Bruce Straley
"
"6","Days Gone","8.3","https://www.imdb.com/title/tt6795336/?ref_=adv_li_tt",2019,"
Action, Adventure, Drama","https://www.imdb.com/title/tt6795336/ratings/?ref_=tt_ov_rt","2,008|1,657|1,509|658|303|146|83|35|24|74","John Garvin
| Jeff Ross
"
"7","Resident Evil Village","8.7","https://www.imdb.com/title/tt12497042/?ref_=adv_li_tt",2021,"
Action, Adventure, Drama","https://www.imdb.com/title/tt12497042/ratings/?ref_=tt_ov_rt","1,861|1,572|1,123|406|128|59|23|20|14|57","Morimasa Sato
| America Young
"
"8","A Plague Tale: Requiem","8.6","https://www.imdb.com/title/tt19364930/?ref_=adv_li_tt",2022,"
Action, Adventure, Drama","https://www.imdb.com/title/tt19364930/ratings/?ref_=tt_ov_rt","323|255|144|54|28|11|4|3|3|12","Kevin Choteau
"
"9","The Dark Pictures: House of Ashes","7.7","https://www.imdb.com/title/tt13368198/?ref_=adv_li_tt",2021,"
Action, Adventure, Horror","https://www.imdb.com/title/tt13368198/ratings/?ref_=tt_ov_rt","249|226|358|225|105|37|27|14|13|21","Aletta Collins
| Will Doyle
"
"10","Resident Evil 4",NA,"https://www.imdb.com/title/tt21047286/?ref_=adv_li_tt",2023,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt21047286/ratings/?ref_=tt_ov_rt",NA,"Yasuhiro Anpo
"
"11","Dying Light 2: Stay Human","7.8","https://www.imdb.com/title/tt8545514/?ref_=adv_li_tt",2022,"
Action, Adventure, Horror","https://www.imdb.com/title/tt8545514/ratings/?ref_=tt_ov_rt","326|202|284|167|104|42|22|19|10|39","Marc Albinet
| Adrian Ciszewski
| Thomas Mitchells
"
"12","Mortal Kombat 11","7.9","https://www.imdb.com/title/tt9398566/?ref_=adv_li_tt",2019,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt9398566/ratings/?ref_=tt_ov_rt","855|577|840|391|168|85|86|181|189|292","Ed Boon
| Martin Stoltz
"
"13","Biohazard 4","9.2","https://www.imdb.com/title/tt0397042/?ref_=adv_li_tt",2005,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt0397042/ratings/?ref_=tt_ov_rt","7,629|3,023|1,443|512|182|140|65|52|34|466","Kuniomi Matsushita
| Shinji Mikami
"
"14","Uncharted 2: Among Thieves","9.4","https://www.imdb.com/title/tt1349460/?ref_=adv_li_tt",2009,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1349460/ratings/?ref_=tt_ov_rt","14,549|6,650|2,859|896|249|101|54|23|29|327","Amy Hennig
| Bruce Straley
"
"15","The Witcher 3: Wild Hunt - Blood and Wine","9.8","https://www.imdb.com/title/tt5667286/?ref_=adv_li_tt",2016,"
Action, Adventure, Drama","https://www.imdb.com/title/tt5667286/ratings/?ref_=tt_ov_rt","6,374|998|313|91|48|28|13|8|22|381","Konrad Tomaszkiewicz
"
"16","Uncharted: Drake's Fortune","8.5","https://www.imdb.com/title/tt1000777/?ref_=adv_li_tt",2007,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1000777/ratings/?ref_=tt_ov_rt","5,517|5,474|5,536|2,879|835|300|98|47|31|187","Amy Hennig
"
"17","The Dark Pictures Anthology: Man of Medan","6.7","https://www.imdb.com/title/tt8876446/?ref_=adv_li_tt",2019,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt8876446/ratings/?ref_=tt_ov_rt","241|170|459|806|514|248|121|70|53|62","Tom Heaton
"
"18","A Plague Tale: Innocence","8.3","https://www.imdb.com/title/tt7028648/?ref_=adv_li_tt",2019,"
Adventure, Drama, History","https://www.imdb.com/title/tt7028648/ratings/?ref_=tt_ov_rt","848|995|1,031|502|157|57|34|16|11|32","Kevin Choteau
| David Dedeine
"
"19","BioShock","9.1","https://www.imdb.com/title/tt1094581/?ref_=adv_li_tt",2007,"
Action, Adventure, Horror","https://www.imdb.com/title/tt1094581/ratings/?ref_=tt_ov_rt","10,252|5,269|2,703|1,038|381|176|65|55|30|234","Ken Levine
"
"20","Call of Duty: Black Ops II","8","https://www.imdb.com/title/tt2387409/?ref_=adv_li_tt",2012,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2387409/ratings/?ref_=tt_ov_rt","3,961|2,717|3,589|1,931|900|388|175|100|86|471","Dave Anthony
"
"21","Bloodborne","9.3","https://www.imdb.com/title/tt3814634/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt3814634/ratings/?ref_=tt_ov_rt","3,626|1,235|467|191|102|61|34|25|25|112","Hidetaka Miyazaki
"
"22","Spider-Man 2",NA,"https://www.imdb.com/title/tt15399898/?ref_=adv_li_tt",2023,"
Action, Adventure, Crime","https://www.imdb.com/title/tt15399898/ratings/?ref_=tt_ov_rt",NA,"Bryan Intihar
| Ryan Smith
"
"23","Dying Light","8.2","https://www.imdb.com/title/tt3706490/?ref_=adv_li_tt",2015,"
Action, Adventure, Horror","https://www.imdb.com/title/tt3706490/ratings/?ref_=tt_ov_rt","1,088|1,010|1,200|586|239|102|37|17|17|78","Adrian Ciszewski
| Marcin Nowak
"
"24","Control","8.1","https://www.imdb.com/title/tt8585800/?ref_=adv_li_tt",2019,"
Action, Adventure, Horror","https://www.imdb.com/title/tt8585800/ratings/?ref_=tt_ov_rt","823|1,018|1,088|559|215|110|61|34|31|59","Mikael Kasurinen
| Sam Lake
"
"25","Uncharted 3: Drake's Deception","9","https://www.imdb.com/title/tt1800763/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt1800763/ratings/?ref_=tt_ov_rt","9,281|7,076|3,986|1,337|378|159|63|23|22|238","Amy Hennig
| Justin Richmond
"
"26","BioShock Infinite","9.1","https://www.imdb.com/title/tt1712064/?ref_=adv_li_tt",2013,"
Action, Adventure, Drama","https://www.imdb.com/title/tt1712064/ratings/?ref_=tt_ov_rt","10,623|4,950|2,619|1,160|442|240|97|62|59|289","Ken Levine
"
"27","Doom Eternal","8.6","https://www.imdb.com/title/tt8550890/?ref_=adv_li_tt",2020,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8550890/ratings/?ref_=tt_ov_rt","1,201|951|539|218|88|52|16|18|10|42","Hugo Martin
"
"28","Metro: Last Light","8.2","https://www.imdb.com/title/tt2134101/?ref_=adv_li_tt",2013,"
Action, Adventure, Horror","https://www.imdb.com/title/tt2134101/ratings/?ref_=tt_ov_rt","922|1,030|1,320|546|188|70|36|20|11|41","Andrew Prokhorov
"
"29","Harry Potter: Hogwarts Mystery","5.9","https://www.imdb.com/title/tt8242058/?ref_=adv_li_tt",2018,"
Action, Adventure, Family","https://www.imdb.com/title/tt8242058/ratings/?ref_=tt_ov_rt","73|27|30|32|50|40|23|12|11|45","Chris DeWolfe
"
"30","Uncharted: The Nathan Drake Collection","9.4","https://www.imdb.com/title/tt5766946/?ref_=adv_li_tt",2015,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt5766946/ratings/?ref_=tt_ov_rt","2,937|1,642|685|192|35|16|15|13|11|78","Amy Hennig
"
"31","Devil May Cry 5","8.5","https://www.imdb.com/title/tt8651604/?ref_=adv_li_tt",2019,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt8651604/ratings/?ref_=tt_ov_rt","798|572|425|181|82|24|16|10|11|30","Hideaki Itsuno
"
"32","Metro Exodus","8.2","https://www.imdb.com/title/tt7447318/?ref_=adv_li_tt",2019,"
Action, Adventure, Horror","https://www.imdb.com/title/tt7447318/ratings/?ref_=tt_ov_rt","607|621|645|297|134|57|33|34|14|36","Andrew Prokhorov
"
"33","Lollipop Chainsaw","7.6","https://www.imdb.com/title/tt2188807/?ref_=adv_li_tt",2012,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt2188807/ratings/?ref_=tt_ov_rt","203|115|221|184|90|37|23|11|9|54","Tomo Ikeda
| Suda 51
"
"34","Half-Life: Alyx","9.5","https://www.imdb.com/title/tt11321196/?ref_=adv_li_tt",2020,"
Action, Adventure, Horror","https://www.imdb.com/title/tt11321196/ratings/?ref_=tt_ov_rt","511|138|52|18|6|8|7|8|15|31",NA
